frame,wall_ms,preprocess_ms,inference_ms,postprocess_ms,detections,fps_wall
0,13.758289999941553,1.7450499999540625,10.032698000031814,1.5838300000723393,8,72.68345121408606
1,12.403756999901816,1.4862780001294595,9.064166999905865,1.495790000035413,11,80.62073450873922
2,12.313406999965082,1.5071289999468718,8.997597999950813,1.4605180001581175,11,81.21229161050518
3,12.778433999983463,1.6165949998594442,9.264152000014292,1.4771030000702012,10,78.25685056567136
4,12.546307000093293,1.5304319999813742,9.125988000050711,1.5204139999696054,10,79.70472904836173
5,12.891267999975753,1.6449320000901935,9.426830000165864,1.4796160000969394,11,77.57188819609374
6,13.100348000079975,1.5461279999726685,9.754237000151988,1.4856090001558186,10,76.33385006214301
7,12.488052999970023,1.517523999837067,9.083765000013955,1.4886070000557083,9,80.07653394827844
8,13.914651999812122,2.1819830001277296,9.746798000151102,1.5165569998316641,10,71.86669131312102
9,12.905127000067296,1.611666000144396,9.366149000015866,1.5620149999904243,11,77.48858263810851
10,12.420285999951375,1.4850129998649209,9.142887000052724,1.4419340000131342,11,80.51344389363618
11,14.146612999866193,1.545114000009562,10.452371000155836,1.8156979999730538,10,70.68829832338373
12,13.485689999924944,2.042642000105843,9.58818499998415,1.4652690001639712,10,74.15267591095196
13,13.60670899998695,2.010117000054379,9.59469800000079,1.5645310002128099,9,73.49315694198789
14,13.97720499994648,2.0721199998661177,9.832700000060868,1.6078500000276108,9,71.54506212106277
15,13.135881999915,1.6593189998275193,9.623728999940795,1.5206350001335522,9,76.12735863541336
16,12.781485000004977,1.567403999843009,9.408013999973264,1.4879819998441235,10,78.23817029082385
17,13.23736800009101,1.5945659999943018,9.663686000067173,1.6341320001629356,9,75.54371835799418
18,13.142385000037393,1.637275000121008,9.573466000119879,1.5966430000844412,10,76.08968996092831
19,13.936606000015672,2.1569380000983074,9.763226000131908,1.6063719999692694,10,71.75348144296218
20,13.334575999806475,1.5809149999768124,9.817255999905683,1.5225280001232022,10,74.99301065249567
21,12.929582999959166,1.5709640001659864,9.453997000036907,1.5620809999745688,9,77.34201482005709
22,12.858846999961315,1.6182039998966502,9.378980000064985,1.5365689998816379,9,77.76747013188728
23,13.750587000004089,1.7114990000663965,10.084468000059132,1.5319050000925927,9,72.72416806640346
24,12.844997999991392,1.5685509999912028,9.390624000161552,1.4764170000489685,9,77.85131613104728
25,13.085256000067602,1.5037480000046344,9.708436999972037,1.5142600000217499,10,76.42189040816884
26,12.708402000043861,1.5575879999687459,9.234148000132336,1.5687900001921662,9,78.68809941616173
27,14.079261999995651,1.9577820000904467,10.171469999932015,1.5431409999564494,11,71.02645010798925
28,12.905477000003884,1.5549309998732497,9.175759000072503,1.833118000149625,11,77.48648112733059
29,14.991520999956265,1.6263659999822266,11.24841099999685,1.7805520001275,10,66.70437242511399
30,13.883469999882436,1.8907449998550874,9.986506999894118,1.6198600001189334,11,72.02810248507527
31,15.29527900015637,2.283863000002384,11.071872000002259,1.5372069999557425,10,65.37965080530905
32,13.52658199994039,1.5869920000568527,10.009288999981436,1.5980649998255103,10,73.92850610778147
33,13.241286000038599,1.5758810000079393,9.770694000053481,1.547420999941096,10,75.52136552273585
34,13.242463999858956,1.5970079998623987,9.729227000207175,1.5077049999945302,10,75.51464742593606
35,13.169581999818547,1.7103570000926993,9.562953000113339,1.5224530000068626,10,75.93255427649702
36,12.995627000009335,1.563076000138608,9.637014000190902,1.4804990000811813,11,76.9489613697963
37,13.026611999976012,1.5525409999099793,9.69237999993311,1.470157000085237,10,76.76593115706842
38,13.15669399991748,1.6361450000204059,9.748826000077315,1.467519000016182,10,76.00693608943646
39,13.132596999867019,1.9935109999096312,9.34710699993957,1.4261280000482657,9,76.14640120382329
40,12.316078999901947,1.524164999864297,9.118136999859416,1.3571629999660217,9,81.194672428454
41,12.368753999908222,1.4435660000344797,9.125365000045349,1.434666000022844,10,80.84888744714465
42,12.215435999905822,1.4718340000854369,8.9719340001011,1.4763709998533159,10,81.86363548609397
43,13.364936000016314,1.965663000191853,9.5826169999782,1.4185590000579396,10,74.82265534221632
44,12.172996000117564,1.444912000124532,9.062665000101333,1.3782370001536037,10,82.14904531229142
45,12.64869900001031,1.5202230001705175,9.367964999910328,1.4524779999192106,11,79.05951434208252
46,12.616139999863663,1.4742799999112322,9.360029999925246,1.4491899999029556,11,79.26354653727738
47,12.57334499996432,1.694889999953375,9.039182999913464,1.4884539998547552,11,79.53333023175915
48,12.902398000051107,1.5439910000623058,9.477984999875844,1.5112720000161062,11,77.50497233119293
49,12.045521000118242,1.432373999932679,8.854428999939046,1.4230540000426117,11,83.01840991271226
50,12.311027000123431,1.4596089999940887,9.128178000082698,1.4320459999908053,11,81.22799178248687
51,13.402068999994299,2.0616660001451237,9.47646400004487,1.4883419999023317,12,74.61534483969791
52,12.576077999938207,1.5943540001899237,9.244202000218138,1.3764169998466969,11,79.51604625900966
53,12.492908000012903,1.476221000075384,9.2594810000719,1.4280210000379157,11,80.04541456632572
54,12.4867480001285,1.6491229998791823,9.113515000080952,1.3964429999759886,10,80.0849028097395
55,12.64294699990387,1.9300769999972545,8.906876000082775,1.4518099999349943,11,79.09548303948466
56,12.275219000002835,1.4476740000191057,9.020992999921873,1.507433999904606,11,81.46494168452466
57,13.038389000030293,1.5325690001191106,9.531221999850459,1.6371770000205288,11,76.69659188705573
58,14.393132999884983,2.1581550001883443,10.281444000156625,1.5152420000958955,11,69.4775765643235
59,12.724323999918852,1.7464309999013494,9.130154999866136,1.467393999973865,11,78.58963666803655
60,12.191601000040464,1.5471479998723225,8.92417199997908,1.3975589999972726,11,82.02368171306468
61,12.416765999887502,1.4612549998673785,9.023397999953886,1.5390940000088449,11,80.53626846225983
62,13.305836999961684,1.5200169998479396,10.048460000007253,1.445071000034659,11,75.15498649223493
63,12.051977000055558,1.5312000000449189,8.807263999869974,1.4000800001667812,11,82.97393863225844
64,12.754727999890747,1.9577799998842238,9.003637000205345,1.42072299991014,11,78.40229913241315
65,13.095597000074122,1.6409899999416666,9.508292999953483,1.519000999905984,11,76.36154350155552
66,13.572532000125648,2.047770999979548,9.668376999798056,1.4760849999220227,12,73.67822009855954
67,13.078420999818263,1.6067950000433484,9.563286000002336,1.5738580000288493,11,76.46182975864564
68,13.203341999997065,1.5357009999661386,9.89634899997327,1.4589480001632182,11,75.73840017173094
69,12.00863200006097,1.44499399993947,8.862437000061618,1.3792239999474987,12,83.27343197750774
70,12.38274399997863,1.4561500001946115,9.106195999947886,1.4585540000098263,13,80.75754453146457
71,12.58291699991787,1.4735479999217205,9.367985999915618,1.4185780000843806,12,79.47282812137496
72,12.083063000090988,1.4498689999982162,8.95839400004661,1.393832000076145,10,82.76047224056266
73,12.118944999883752,1.4909060000718455,8.982779000007213,1.347276000160491,11,82.5154334811811
74,12.424459000158095,1.464189999978771,9.24842999984321,1.402219000055993,11,80.48640186162436
75,12.922948000095857,1.896094999892739,9.310249000009208,1.363733000061984,11,77.38172435519995
76,11.754648000078305,1.4169180001317727,8.693122000067888,1.3699859998723696,11,85.0727303780886
77,12.24460999992516,1.4422270000977733,9.084852000114552,1.4026209998974082,12,81.66858724010908
78,13.743693999913376,1.4537530000779952,9.5707709999715,2.4002709999422223,13,72.76064208111028
79,12.222087000054671,1.4684669999951439,9.085916000003635,1.3854979999905481,12,81.81908703444239
80,12.95368499995675,2.0142830001077527,9.17268799980775,1.4163969999572146,12,77.19811003612786
81,12.969870000006267,1.9146959998579405,9.29470100004437,1.4202820000264182,13,77.1017751141312
82,12.195693999956347,1.4390090000233613,9.004555000046821,1.4153820000046835,12,81.99615372471459
83,12.714019000213739,1.7158499999823107,9.17397000011988,1.4316740000595019,12,78.65333534448774
84,12.631061999854865,1.5527900000051886,9.233996999910232,1.5285900001344999,12,79.16990669600786
85,12.671861999933753,1.5176679999058251,9.320756999841251,1.5165889999479987,12,78.91500081086961
86,12.83746300009625,1.4836569998806226,9.60513100017124,1.4247189999423426,12,77.89701127025663
